PLOT,ENTRYNO,GID,ENTRY,DESIGNATION,PARENTS,SOURCE,REP,ROW,COLUMN,SEEDING_DATE,FLW,MATURITY,PLTHGT,TILLER,MC,Plotyield-H,MISSHILL,Plotyield-C,Plotyield-Adj,LODGING,Ldg-Sticks,GLH,BPH,BLAST,BB1,BB2,HARVESTDATE,REMARKS
638,B1371,2754684,IR10N205,IR 85145-14-2-3-3-2,IR 72906-32-1-3-3/IR 73712-68-3-1-2//IR 65450-173-2-1-1-3-3,B3354,1,1,56,20130608,89,119,121,17,10.3,2840,2,2886,2962,,,5,5,0,1,1,14-Oct,ok
344,B1372,2697369,IR10N216,IR 85147-45-1-2-3-2,IR 73012-15-2-2-1/IR01N144//IR 72890-81-3-2-2,B3603,1,10,47,20130608,92,122,119,17,11.7,2208,,2916,2267,9,S,5,5,3,1,5,10-Oct,shb 
575,B1373,2697813,IR10N225,IR 85151-18-2-1-3-2,IR01N106/IR01N194//IRRI 143,B3604,1,3,53,20130608,94,124,116,13,9,3239,,2707,3427,,,5,5,4,1,7,17-Oct," Good, god erect flags"
632,B1374,2697338,IR10N237,IR 85154-84-3-3-2-3,IR01N111/IRRI 164//IR 72890-81-3-2-2,B3605,1,1,62,20130608,94,124,142,17,11.3,2905,,,2996,3,,7,7,3,1,5,14-Oct,
590,B1550,2697336,IR10N238,IR 85155-22-2-2-2-2,IR01N126/IR02N174//IR 72903-121-2-1-2,B3606,1,3,38,20130608,89,119,125,13,10.8,3237,,,3357,7,S,3,3,5,1,1,10-Oct,"shb, spreading-type"
625,B1550,2697336,IR10N238,IR 85155-22-2-2-2-2,IR01N126/IR02N174//IR 72903-121-2-1-2,B3606,2,2,64,20130608,89,119,130,15,10.2,3190,,,3331,7,S,,,,1,1,11-Oct,"shb,"
656,B1375,2697295,IR10N256,IR 85611-46-3-3-1,IR02W101/IR 71701-28-1-4,B3355,1,1,38,20130608,89,119,122,11,11.3,2291,3,2347,2363,9,S,5,5,1,1,5,09-Oct,"not so uniform, shb"
518,B1376,2697282,IR10N259,IR 85612-32-1-1-2,IR02W101/IR 72164-348-6-2-2-2,B3356,1,5,44,20130608,84,114,129,15,10.2,3311,,3574,3457,7,S,5,5,1,1,5,11-Oct,shb
495,B1377,2697278,IR10N260,IR 85612-37-1-3-3,IR02W101/IR 72164-348-6-2-2-2,B3357,1,6,66,20130608,82,112,117,13,11,2589,2,2675,2679,7,S,5,3,1,1,5,10-Oct,ShB
500,B1378,2697256,IR10N263,IR 85621-13-2-2-1,IR 65482-7-216-1-2-B/IR 72164-348-6-2-2-2,B3358,1,5,62,20130608,81,111,129,15,10.7,2723,5,2335,2827,7,S,5,7,1,1,5,11-Oct,"few segregation, shb"
636,B1379,2696717,IR10N266,IR 85627-42-2-2-3,IR01W106/IR 71676-90-2-2,B3607,1,1,58,20130608,91,121,131,16,10.7,2586,,,2685,9,,5,7,0,1,7,14-Oct,
399,B1380,2696709,IR10N269,IR 85627-61-2-2-2,IR01W106/IR 71676-90-2-2,B3608,1,8,36,20130608,87,117,111,12,12.2,2498,,2590,2550,5,,5,7,0,1,5,11-Oct,"shb, godd flags"
189,B1099,2696706,IR10N270,IR 85627-66-3-2-2,IR01W106/IR 71676-90-2-2,B3359,1,5,10,20130608,90,120,115,19,12,2663,,2761,2725,,,3,3,7,1,7,10-Oct,"very cmpact, good flags"
275,B1099,2696706,IR10N270,IR 85627-66-3-2-2,IR01W106/IR 71676-90-2-2,B3359,2,2,11,20130608,91,121,119,17,10.5,2218,,2604,2308,5,,,,,1,7,10-Oct,"bb, shb"
460,B1551,2696701,IR10N271,IR 85627-96-3-3-1,IR01W106/IR 71676-90-2-2,B3609,1,7,36,20130608,90,120,117,17,10.3,1555,,2533,1622,,,3,7,4,1,7,09-Oct,"Neck blast, shb"
516,B1551,2696701,IR10N271,IR 85627-96-3-3-1,IR01W106/IR 71676-90-2-2,B3609,2,5,46,20130608,91,121,113,17,12.1,2073,,2766,2119,5,S,,,,1,7,14-Oct,shb
59,B1100,2696697,IR10N272,IR 85627-100-3-3-2,IR01W106/IR 71676-90-2-2,B3610,1,9,8,20130608,90,120,114,19,9.8,1624,,1884,1703,,,5,1,5,1,7,05-Oct,"shb, neck blast (NB)"
243,B1100,2696697,IR10N272,IR 85627-100-3-3-2,IR01W106/IR 71676-90-2-2,B3610,2,3,22,20130608,91,121,124,17,11,2121,,3280,2195,5,,,,,1,5,10-Oct,
10,B1101,2697138,IR10N276,IR 85644-2-3-2-2,IR 79499-14-1-2-2/IR 65450-173-2-1-1-3-3,B3360,1,10,10,20130608,85,115,113,31,11.2,2717,,2717,2805,5,,5,3,4,1,5,31-Oct,shb
