Env,Gen,Blk,YLD1
ENV1,IR 96843-106-1-3,1,7273
ENV1,IRRI 146,1,7274
ENV1,IRRI 168,1,7276
ENV1,IR13A402,1,7279
ENV1,IR12A245,1,7286
ENV1,IR 64,2,7293
ENV1,IRRI 103,2,7298
ENV1,IR10N231,1,7303
ENV1,IRRI 128,1,7303
ENV1,IR13A171,1,7309
ENV1,IR12A213,1,7313
ENV1,IR 103806:55-B RGA,1,7316
ENV1,IRRI 163,1,7320
ENV1,IR08N138,1,7325
ENV1,IR12A208,1,7329
ENV1,IR 96834-78-1-3,1,7336
ENV1,IR09N191,2,7346
ENV1,IR07A107,2,7347
ENV1,IR 66,1,7348
ENV1,IR04A216,1,7352
ENV1,IR04A381,1,7353
ENV1,IRRI 143,1,7356
ENV1,IRRI 102,2,7356
ENV1,IR13A137,1,7357
ENV1,IR 77674-3B-63-3-3-7-3,1,7360
ENV1,IR10N187,1,7360
ENV1,IR 93336:10-B-18-15-B-B-B-23,1,7360
ENV1,IR10M122,1,7360
ENV1,IR 103806:176-B RGA,1,7361
ENV1,IR13N186,1,7366
ENV1,IR 96830-34-2-2,1,7366
ENV1,IRRI 168,2,7368
ENV1,IR 74371-70-1-1,1,7369
ENV1,IR13A519,1,7370
ENV1,IR 102884-86,1,7379
ENV1,IR10N256,1,7381
ENV1,IR 103806:157-B RGA,1,7386
ENV1,IR09N536,1,7391
ENV1,IR 103806-520-B RGA,1,7391
ENV1,IR10N202,2,7395
ENV1,NSIC 2011 RC 282,4,7398
ENV1,IR10A122,1,7404
ENV1,IR 103806:90-B RGA,1,7406
ENV1,IR 77390-6-1,2,7407
ENV1,IR13A169,1,7408
ENV1,IR10N111,1,7408
ENV1,IRRI 127,2,7412
ENV1,IR10A131,1,7413
ENV1,IR 103806:180-B RGA,1,7419
ENV1,IR09N537,1,7421
ENV1,IR 56,2,7421
ENV1,IR 103806:3-B RGA,1,7424
ENV1,IRRI 113,2,7428
ENV1,IR10N205,2,7428
ENV1,IR13A186,1,7435
ENV1,IR13N125,1,7435
ENV1,IR 95444-112-2-1-2,1,7436
ENV1,IRRI 149,1,7443
ENV1,IR 50,2,7443
ENV1,IR13A311,1,7443
ENV1,IR 103806:307-B RGA,1,7449
ENV1,IRRI 152,1,7452
ENV1,IR 65600-81-5-3-2,2,7463
ENV1,IR 26,1,7463
ENV1,MANAW THUKHA,2,7465
ENV1,IR12N261,1,7470
ENV1,IR13A175,1,7472
ENV1,IR10N131,1,7474
ENV1,IR 103806:33-B RGA,1,7476
ENV1,IR 103806:87-B RGA,1,7483
ENV1,IRRI 109,2,7490
ENV1,IR 54,1,7497
ENV1,IR 102885-25-4,1,7501
ENV1,IR13A265,1,7504
ENV1,IR 103806:78-B RGA,1,7505
ENV1,IR 96836-87-3-2,1,7506
ENV1,IR09N497,1,7509
ENV1,IR 103806:145-B RGA,1,7509
ENV1,IR09N296,2,7510
ENV1,IR12A127,1,7514
ENV1,IR08A111,2,7516
ENV1,IR 64-SUB1,2,7519
ENV1,IR09N190,2,7523
ENV1,IR09A102,1,7524
ENV1,COLOMBIA XXI,1,7535
ENV1,IR 66946-3R-149-1-1,2,7545
ENV1,IR 65192-4B-17-3,1,7545
ENV1,IRRI 143,2,7550
ENV1,IR07A257,2,7553
ENV1,IR13A201,1,7562
ENV1,IR10A141,1,7564
ENV1,IR13A112,1,7565
ENV1,IR09A120,2,7570
ENV1,IR10M292,1,7570
ENV1,IR 93339:39-B-6-5-B-B-B-6,1,7573
ENV1,IR10N253,1,7579
ENV1,IR 93339:49-B-10-14-B-B-B-24,1,7581
ENV1,IR09N251,2,7581
ENV1,SANHUANGZHAN NO 2,1,7585
ENV1,IR 20,1,7590
ENV1,IR05N341,2,7592
ENV1,IR13A291,1,7592
ENV1,IR13N113,1,7592
ENV1,IR 103806:183-B RGA,1,7593
ENV1,IR12A346,1,7603
ENV1,IR 103806:101-B RGA,1,7603
ENV1,IRRI 102,1,7603
ENV1,IRRI 109,1,7604
ENV1,NSIC 2011 RC 282,5,7606
ENV1,IR13N196,1,7611
ENV1,IR 103806-539-B RGA,1,7612
ENV1,IR09N506,1,7614
ENV1,IRRI 104,2,7614
ENV1,IR09N514,2,7614
ENV1,IR 71700-247-1-1-2,2,7614
ENV1,IR09N507,2,7615
ENV1,IR 20,2,7618
ENV1,IR 103806:181-B RGA,1,7621
ENV1,IRRI 168,5,7622
ENV1,IR 103806-554-B RGA,1,7626
ENV1,IR13A160,1,7627
ENV1,IR09N526,1,7629
ENV1,IR 93683-5-2-2-1-3,1,7629
ENV1,IR 103806:169-B RGA,1,7629
ENV1,IR 79971-B-227-B-B,2,7630
ENV1,IR06A155,1,7635
ENV1,IR09N536,1,7635
ENV1,WAB 56-125,1,7636
ENV1,IRRI 154,5,7642
ENV1,IR13A524,1,7644
ENV1,IR 103806:69-B RGA,1,7644
ENV1,IR 30,2,7646
ENV1,IR 65482-7-216-1-2,2,7652
ENV1,IRRI 120,2,7654
ENV1,IR 103806:284-B RGA,1,7656
ENV1,IR 50,1,7657
ENV1,IRRI 164,2,7659
ENV1,IR 103806:159-B RGA,1,7660
ENV1,IR 65192-4B-17-3,2,7661
ENV1,SUPA,1,7662
ENV1,IR10N289,1,7662
ENV1,IR 93653-44-3-3-2-2,1,7662
ENV1,IR10N161,2,7663
ENV1,IR 110621-C1-C2-B-B-B-174-1,1,7663
ENV1,IR10A136,1,7664
ENV1,IR 95444-112-2-1-1,1,7664
ENV1,IR09N499,2,7668
ENV1,IR13A105,1,7669
ENV1,IR 77390-6-1,1,7670
ENV1,IR06N141,1,7674
ENV1,IR06M137,1,7674
ENV1,IR 38,2,7675
ENV1,IR10A139,1,7676
ENV1,IR 103806:95-B RGA,1,7676
ENV1,IR 103806:52-B RGA,1,7676
ENV1,IR07N197,1,7679
ENV1,IR09A102,2,7680
ENV1,IR 103806:168-B RGA,1,7680
ENV1,IR 28,2,7681
ENV1,IR 103806:216-B RGA,1,7687
ENV1,IR 93336:10-B-18-15-B-B-B-25,1,7692
ENV1,IR 110626-B-B-B-2-1,1,7695
ENV1,IR13A335,1,7697
ENV1,IR 103806:187-B RGA,1,7698
ENV1,IR 103806:302-B RGA,1,7700
ENV1,IR 103806:45-B RGA,1,7701
ENV1,IR13N193,1,7708
ENV1,IRRI 155,1,7709
ENV1,IR09A133,1,7711
ENV1,IR13A196,1,7714
ENV1,IR 110617-C1-B-B-B-11-2,1,7717
ENV1,IRRI 125,1,7718
ENV1,IR05N496,1,7724
ENV1,IR 97225-28-2-1,1,7724
ENV1,IRRI 113,1,7725
ENV1,IR 44,1,7733
ENV1,IR 103806:257-B RGA,1,7734
ENV1,IR12A269,1,7735
ENV1,IR 66946-3R-149-1-1,1,7736
ENV1,IR 93336:10-B-18-15-B-B-B-21,1,7738
ENV1,IR 97225-52-2-1,1,7740
ENV1,IRRI 103,1,7741
ENV1,IR09A143,1,7746
ENV1,IR 93336:10-B-18-15-B-B-B-9,1,7747
ENV1,IR 110631-B-B-B-4-2,1,7748
ENV1,IR09N202,1,7752
ENV1,IRRI 146,1,7754
ENV1,IRRI 168,2,7757
ENV1,IR 103806:179-B RGA,1,7759
ENV1,IR 103806-502-B RGA,1,7761
ENV1,IRRI 140,1,7762
ENV1,IR13A364,1,7767
ENV1,IR13A281,1,7767
ENV1,IR10A133,1,7768
ENV1,CYPRESS,1,7769
ENV1,IR13A332,1,7769
ENV1,IR08N210,2,7770
ENV1,IRRI 159,1,7772
ENV1,IR 103806:68-B RGA,1,7772
ENV1,IR 93336:10-B-18-15-B-B-B-22,1,7773
ENV1,IR13A197,1,7773
ENV1,IRRI 141,1,7777
ENV1,IR08N128,2,7778
ENV1,IR09N518,1,7780
ENV1,IRRI 148,1,7782
ENV1,CYPRESS,2,7783
ENV1,IRRI 168,4,7783
ENV1,IR 93680-31-3-3-3-3,1,7788
ENV1,IR 103806:308-B RGA,1,7790
ENV1,IR 103806:13-B RGA,1,7792
ENV1,IR13N129,1,7797
ENV1,IR03A159,2,7798
ENV1,IR08A175,1,7799
ENV1,IR09A116,1,7803
ENV1,IR 93686-114-3-3-2-B,2,7803
ENV1,IR06N156,2,7805
ENV1,IR 103806:186-B RGA,1,7805
ENV1,IR 110621-C1-C2-B-B-B-24-1,1,7808
ENV1,IR06N146,1,7811
ENV1,IR 96834-78-1-2,1,7811
ENV1,IR12A191,1,7812
ENV1,IR05A235,1,7814
ENV1,IR12N141,1,7814
ENV1,IR10A234,2,7815
ENV1,IR 103806:283-B RGA,1,7815
ENV1,IR 62,2,7816
ENV1,IR10N144,1,7819
ENV1,IR 95503-83-1-3-1-2,1,7821
ENV1,IR 42,1,7826
ENV1,IR13A260,1,7829
ENV1,IR13A306,1,7833
ENV1,IR09N247,1,7833
