GID,ENTRY!,DESIGNATION,PARENTS,ENTRYNO,PLOT,SOURCE,MATGP!,REP!,ROW,COLUMN,FLW,MATURITY,PLTHGT,TILLER,14MC,PLOTYIELD,MISSHILL,CPY,GRNYLD(Y/ha),BLAST,BB1,BPH,GLH,HARVESTDATE
2642567,IR09A183,IR 84848-84-1-3-2,IRRI 123/IR 68144-2B-2-2-3-1-166,A3235,493,A2721,1,2,20,8,82,112,96,22,10.6,5968,1,6000,8250,,,,,2013-04-05
3426287,IR12A236,IR 91106-59-3-1-3,MTU 1010/IR06M139,A3294,494,A5216,1,2,20,7,84,114,117,15,10.4,6346,,,8746,,,,,2013-04-05
3272778,IR12N130,IR 90232-30-1-3-2,IR01N148/JANAKI//IR 6 (PAKISTAN),B3369,495,A5503,1,2,20,6,87,117,94,15,10.8,6383,,,8757,,,,,2013-04-08
2472288,IR09N127,IR 83840-90-3-2-1,IR01N107/IR01N203,B3334,496,B2777,1,2,20,5,82,112,105,17,10.9,5851,2,5914,8104,,,,,2013-04-05
3426130,IR12N205,IR 91087-26-3-2-2,IR05N181/MTU 1010,B3404,497,B5366,1,2,20,4,88,118,117,16,13.2,6982,,,9321,,,,,2013-04-11
2847870,CIHERANG-SUB1,IR09F436,CIHERANG*2/IRRI 149,F3441,498,F2164,1,2,20,3,87,117,102,17,9.3,6435,7,6683,9322,,,,,2013-04-08
1402027,IRRI168,NSIC RC 302,IR 72904-65-1-3-3/IR 73012-137-2-2-2,A3209,499,A2115,1,2,20,2,87,117,95,12,10.8,6421,1,6455,8856,,,,,2013-04-09
3426100,IR12N198,IR 91083-15-2-3-2,IR05N170/MTU 1010,B3401,500,B5359,1,2,20,1,86,116,96,17,10.7,6134,4,6267,8607,,,,,2013-04-05
3023526,IR11A292,IR 87528-81-2-2-1,IR04A427/IR 65450-173-2-1-1-3-3,A3497,501,A3011,2,1,1,26,90,120,108,13,12.5,6599,3,6705,9024,2,1,5,5,2013-04-12
3425963,IR12A328,IR 91051-78-2-3-3,IRRI 154/BR 29,A3537,502,A5449,2,1,1,27,93,123,117,10,14,6654,,,8802,0,3,7,5,2013-04-15
2697240,IR10A133,IR 85634-10-3-1-2,IR04A285/JANAKI,A3476,503,A2959,2,1,1,28,86,116,101,16,12.3,5641,1,5671,7650,4,1,5,7,2013-04-12
2697338,IR10N237,IR 85154-84-3-3-2-3,IR01N111/IRRI 164//IR 72890-81-3-2-2,B3605,504,B3083,2,1,1,29,91,121,109,13,13.2,6855,,,9152,5,1,5,5,2013-04-12
2432629,IR09N522,IR 83650-92-1-3-3,DONGANBYEO/PSBRC 82//AREUMBYEO,B3587,505,B2980,2,1,1,30,89,119,95,13,11.8,6493,3,6598,8950,1,1,1,3,2013-04-17
2450867,IR09N529,IR 83682-86-1-3-1,IR 74286-107-2-3/IR 72969-143-5-3-6-2//IRRI 105,B3590,506,B3175,2,1,1,31,99,129,121,13,11.2,6361,,,8688,2,1,3,3,2013-04-17
3522944,IR12N266,IR 91057-12-3-1-2,IR04A427/IRRI 146,B3653,507,A5518,2,1,1,32,88,118,93,14,9.9,5364,,,7433,4,1,5,5,2013-04-08
3384693,IR12F257,IR 90105-SUB 26-2-2-2,IRRI 154/IR 70213-9-CPA 12-UBN 2-1-3-1,F3671,508,F2155,2,1,1,33,83,113,94,13,10.9,5604,,,7680,2,1,5,5,2013-04-09
3408619,CR1009,CR 1009,PANKAIJ/JAGANNATH,F3692,509,F2165,2,1,1,34,105,135,109,20,13.9,6449,,,8540,1,7,9,9,2013-04-29
2222968,IR07A234,IR 82571-544-2-3,NSIC RC 138/IRRI 123,A3462,510,A2803,2,1,1,35,90,120,116,13,14,6644,3,6751,8930,4,1,3,5,2013-04-13
3128640,IR10F339,IR 87439-BTN-88-3-2,IR 70215-4-CPA 3-1-3-1/IRRI 146,F3663,511,F2112,2,1,1,36,86,116,91,16,10.2,4648,,,6420,3,1,7,5,2013-04-08
2696717,IR10N266,IR 85627-42-2-2-3,IR01W106/IR 71676-90-2-2,B3607,512,B2934,2,1,1,37,88,118,115,14,12.2,6295,,,8501,0,1,1,3,2013-04-10
3427115,IR12N242,IR 92246-85-3-2-3,IR05N170/TEQING,B3646,513,B5403,2,1,1,38,92,122,117,13,13.8,7124,2,7200,9546,0,1,5,5,2013-04-13
3426115,IR12N201,IR 91083-111-3-2-2,IR05N170/MTU 1010,B3643,514,B5362,2,1,1,39,98,128,120,16,13.9,6604,1,6639,8792,0,1,5,5,
2853229,IR09F437,IR 94602-273-98,IRRI 105*2/IRRI 149,F3695,515,F2174,2,1,1,40,88,118,106,12,12.6,6095,,,8193,1,1,7,5,2013-04-10
2472593,IR09A116,IR 83347-113-2-2-3-2,IR BB 60-1/IRRI 146,A3466,516,A3153,2,1,1,41,98,128,92,15,12.8,5995,3,6092,8170,0,1,5,5,2013-04-12
1265595,IR05N221,IR 79253-55-1-4-6,IR 74052-297-2-1/IR 71700-247-1-1-2,B3545,517,B2916,2,1,1,42,87,117,103,17,11.4,6376,,,8689,0,1,5,3,2013-04-10
2433233,IR09N495,IR 82802-33-1-3-2-2,IR01N200/IR01N148//IRRI 123,B3583,518,B2825,2,1,1,43,82,112,93,15,9,5269,,,7375,1,1,5,3,2013-04-08
2450883,IR09N526,IR 83680-114-3-3-3,IR 73718-23-2-1-3/IR01N200//IRRI 105,B3589,519,B2880,2,1,1,44,86,116,100,12,9.6,5461,1,5490,7634,0,1,1,3,2013-04-08
3522709,IR12A337,IR 91065-68-1-3-3,IR05A117/IRRI 123,A3541,520,A5458,2,1,1,45,97,127,113,14,13.8,6262,1,6295,8346,0,1,5,5,2013-04-15
2697576,IR10N148,IR 84741-5-2-3-2-2,IR 73012-137-2-2-2/IR01N107,B3599,521,B3078,2,1,1,46,88,118,122,11,12.1,6278,,,8488,0,1,5,3,2013-04-10
3023474,IR11A255,IR 87514-36-1-3-3,IR 72875-94-3-3-2/IRRI 143,A3492,522,A2767,2,1,1,47,85,115,110,13,10.1,5487,,,7587,3,,5,3,2013-04-08
1838123,IR06M138,IR 80482-24-2-2-1,MEM BERANO/PADI ABANG GOGO,M3673,523,M3187,2,1,1,48,98,128,117,13,12,7350,,,9948,0,1,7,3,2013-04-20
2972296,IR11A294,IR 87529-41-1-2-1,IR04A427/IR00A109,A3499,524,A3059,2,1,1,49,90,120,110,14,13.5,7282,4,7439,9898,3,1,5,3,2013-04-12
2525022,IR09N262,IR 83838-8-2-2-2,IR00A117/IR 73707-45-3-2-3,B3578,525,B3170,2,1,1,50,95,125,97,15,13.9,6055,3,6153,8148,5,1,1,3,2013-04-15
3425560,IR12N138,IR 90218-97-2-2-2-2,IR05N173/IR02W101//COLOMBIA XXI,B3637,526,B5297,2,1,2,50,90,120,108,15,13.8,5734,,,7602,0,1,3,3,2013-04-15
2337788,IR08N128,IR 82486-15-3-2-1,IR 72860-74-1-2-1/IR 72158-11-5-2-3,B3563,527,B2972,2,1,2,49,83,113,102,15,10,4402,30,5233,7243,3,1,5,5,2013-04-06
2696701,IR10N271,IR 85627-96-3-3-1,IR01W106/IR 71676-90-2-2,B3609,528,B3033,2,1,2,48,87,117,97,14,12.5,7897,,,10628,4,1,5,3,2013-04-12
2472106,IR09A225,IR 83832-11-2-2-3,IR 72903-121-2-1-2/IRRI 135,A3471,529,A3053,2,1,2,47,91,121,96,14,13.7,7054,3,7168,9514,0,1,5,3,2013-04-13
3272814,IR12A122,IR 90233-116-3-2-2,IR01N149/IR 64680-81-2-2-1-3//FEDEARROZ 50,A3518,530,A5436,2,1,2,46,90,120,110,15,13.8,6066,7,6299,8352,0,1,9,7,2013-04-12
3426427,IR12N284,IR 91134-13-3-2-2,THADOKKHAM 1/IRRI 146,B3660,531,A5536,2,1,2,45,88,118,95,13,9.3,5378,,,7503,4,1,1,3,2013-04-06
3348130,IR12N111,IR 90207-138-2-3-2,IR 72903-99-2-3-2/IR 65482-4-136-2-2-B//IR 65620-192-3-3-3-2,B3629,532,A5473,2,1,2,44,93,123,103,16,11.8,7072,3,7186,9749,0,1,7,3,2013-04-12
2348720,IR08A176,IR 82492-60-3-2-2,IR 73013-95-1-3-2/IRRI 123,A3465,533,A2902,2,1,2,43,89,119,114,12,13.2,6993,,,9336,1,1,3,5,2013-04-12
2696858,IR10N303,IR 85811-49-4-2-3,IR 72906-32-1-3-3/IR02N139//IRRI 118,B3615,534,B3183,2,1,2,42,94,124,95,11,10.8,6049,,,8299,0,1,5,5,2013-04-15
3425501,IR12A313,IR 90203-129-2-1-1-3,IRRI 168/IR 65482-4-136-2-2-B//JANAKI,A3535,535,A5420,2,1,2,41,95,125,109,12,13.4,5742,,,7648,0,1,9,5,2013-04-15
2472780,IR09N212,IR 83354-63-3-1-2-1,ODAEBYEO/IRRI 123,B3573,536,B3120,2,1,2,40,96,126,120,16,12.2,7168,,,9680,2,1,5,5,2013-04-17
2754452,IR10N118,IR 83822-31-3-1-2-2-1,IR 68058-71-2-1/IR 71700-247-1-1-2,B3595,537,B2881,2,1,2,39,95,125,108,11,11.5,5525,8,5769,7853,0,,3,3,2013-04-20
3219038,IR11A490,IR 88662-90-1-3-1,IR 72903-99-2-3-2/IR01W102,A3511,538,A3061,2,1,2,38,94,124,102,22,14,6617,7,6872,9089,0,,5,7,2013-04-15
2451117,IR09A235,IR 83730-19-3-1-3,IR 77429-38-69-B-6-1-1/NSIC RC 138//IRRI 132,A3474,539,A2858,2,1,2,37,83,113,108,16,10.2,6004,,,8293,0,1,5,5,2013-04-06
2707514,IR09F169,IR 85086-SUB 33-3-2-1,IRRI 119/IR02A464,F3662,540,F2101,2,1,2,36,93,123,111,13,13.9,7427,1,7467,9888,3,1,7,5,2013-04-13
